name of the body ; position x ; position y ; position z
neptune;16.0016;-25.531;-25.531
sun;9.7718e-05;-0.0021527;-0.0021527
jupiter;4.89584;0.705428;0.705428
saturn;7.60071;5.26375;5.26375
uranus;13.584;-14.5304;-14.5304
neptune;16.0113;-25.5248;-25.5248
sun;0.000104644;-0.00218551;-0.00218551
jupiter;4.8914;0.734031;0.734031
saturn;7.588;5.28047;5.28047
uranus;13.5944;-14.5212;-14.5212
neptune;16.0209;-25.5186;-25.5186
sun;0.000111734;-0.00221829;-0.00221829
jupiter;4.88679;0.762611;0.762611
saturn;7.57525;5.29716;5.29716
uranus;13.6048;-14.512;-14.512
neptune;16.0306;-25.5124;-25.5124
sun;0.000118987;-0.00225103;-0.00225103
jupiter;4.88203;0.791166;0.791166
saturn;7.56247;5.31383;5.31383
uranus;13.6152;-14.5028;-14.5028
neptune;16.0402;-25.5062;-25.5062
sun;0.000126403;-0.00228375;-0.00228375
jupiter;4.87711;0.819695;0.819695
saturn;7.54964;5.33047;5.33047
uranus;13.6255;-14.4936;-14.4936
neptune;16.0498;-25.5;-25.5
sun;0.000133982;-0.00231644;-0.00231644
jupiter;4.87203;0.848197;0.848197
saturn;7.53678;5.34708;5.34708
uranus;13.6359;-14.4844;-14.4844
neptune;16.0595;-25.4938;-25.4938
sun;0.000141725;-0.00234909;-0.00234909
jupiter;4.86679;0.876671;0.876671
saturn;7.52388;5.36367;5.36367
uranus;13.6462;-14.4752;-14.4752
neptune;16.0691;-25.4876;-25.4876
sun;0.000149629;-0.0023817;-0.0023817
jupiter;4.86139;0.905117;0.905117
saturn;7.51094;5.38022;5.38022
uranus;13.6566;-14.466;-14.466
neptune;16.0787;-25.4813;-25.4813
sun;0.000157697;-0.00241429;-0.00241429
jupiter;4.85584;0.933534;0.933534
saturn;7.49797;5.39676;5.39676
uranus;13.6669;-14.4567;-14.4567
neptune;16.0883;-25.4751;-25.4751
sun;0.000165926;-0.00244683;-0.00244683
jupiter;4.85012;0.961919;0.961919
saturn;7.48496;5.41326;5.41326
uranus;13.6773;-14.4475;-14.4475
neptune;16.098;-25.4689;-25.4689
sun;0.000174318;-0.00247934;-0.00247934
jupiter;4.84425;0.990274;0.990274
saturn;7.47191;5.42974;5.42974
uranus;13.6876;-14.4382;-14.4382
neptune;16.1076;-25.4627;-25.4627
sun;0.000182872;-0.00251181;-0.00251181
jupiter;4.83822;1.0186;1.0186
saturn;7.45882;5.44619;5.44619
uranus;13.6979;-14.429;-14.429
neptune;16.1172;-25.4564;-25.4564
sun;0.000191588;-0.00254424;-0.00254424
jupiter;4.83203;1.04688;1.04688
saturn;7.4457;5.46261;5.46261
uranus;13.7082;-14.4197;-14.4197
neptune;16.1268;-25.4502;-25.4502
sun;0.000200465;-0.00257663;-0.00257663
jupiter;4.82568;1.07514;1.07514
saturn;7.43254;5.47901;5.47901
uranus;13.7185;-14.4105;-14.4105
neptune;16.1364;-25.444;-25.444
sun;0.000209504;-0.00260898;-0.00260898
jupiter;4.81918;1.10336;1.10336
saturn;7.41934;5.49537;5.49537
uranus;13.7288;-14.4012;-14.4012
neptune;16.146;-25.4377;-25.4377
sun;0.000218703;-0.00264128;-0.00264128
jupiter;4.81252;1.13154;1.13154
saturn;7.4061;5.51172;5.51172
uranus;13.7391;-14.3919;-14.3919
neptune;16.1557;-25.4315;-25.4315
sun;0.000228064;-0.00267355;-0.00267355
jupiter;4.8057;1.15969;1.15969
saturn;7.39283;5.52803;5.52803
uranus;13.7494;-14.3826;-14.3826
neptune;16.1653;-25.4252;-25.4252
sun;0.000237586;-0.00270577;-0.00270577
jupiter;4.79872;1.1878;1.1878
saturn;7.37952;5.54431;5.54431
uranus;13.7597;-14.3733;-14.3733
neptune;16.1749;-25.419;-25.419
sun;0.000247268;-0.00273795;-0.00273795
jupiter;4.79159;1.21587;1.21587
saturn;7.36617;5.56057;5.56057
uranus;13.77;-14.364;-14.364
neptune;16.1845;-25.4127;-25.4127
sun;0.00025711;-0.00277008;-0.00277008
jupiter;4.7843;1.2439;1.2439
saturn;7.35279;5.5768;5.5768
uranus;13.7802;-14.3547;-14.3547
neptune;16.1941;-25.4065;-25.4065
sun;0.000267113;-0.00280216;-0.00280216
jupiter;4.77686;1.27189;1.27189
saturn;7.33937;5.593;5.593
uranus;13.7905;-14.3454;-14.3454
neptune;16.2037;-25.4002;-25.4002
sun;0.000277275;-0.0028342;-0.0028342
jupiter;4.76926;1.29983;1.29983
saturn;7.32591;5.60917;5.60917
uranus;13.8007;-14.3361;-14.3361
neptune;16.2133;-25.394;-25.394
sun;0.000287597;-0.00286619;-0.00286619
jupiter;4.7615;1.32774;1.32774
saturn;7.31241;5.62532;5.62532
uranus;13.811;-14.3267;-14.3267
neptune;16.2228;-25.3877;-25.3877
